current_time,weather,temp,humidity
2025-07-15 04:51:23,Clouds,23.97,73
2025-07-15 05:48:53,Clouds,25.41,67
2025-07-15 05:58:34,Clouds,25.41,67
2025-07-15 06:58:26,Clouds,24.74,72
2025-07-15 07:41:37,Clouds,24.79,67
2025-07-15 07:53:33,Clouds,24.79,67
2025-07-15 09:03:00,Clouds,26.76,74
2025-07-15 09:57:22,Clouds,26.76,69
2025-07-15 10:48:51,Clear,24.76,78
2025-07-15 10:58:27,Clear,24.76,78
2025-07-15 11:33:01,Clouds,23.76,88
2025-07-15 11:48:29,Clouds,23.76,88
2025-07-15 11:55:46,Clouds,23.76,88
2025-07-15 13:58:09,Clouds,23.76,94
2025-07-15 14:44:17,Clouds,23.76,94
2025-07-15 14:58:59,Clouds,23.76,94
2025-07-15 15:42:06,Clouds,23.76,100
2025-07-15 15:58:06,Clouds,23.76,100
2025-07-15 16:54:44,Clouds,22.76,100
2025-07-15 17:41:30,Clouds,23.76,100
2025-07-15 17:54:09,Clouds,22.81,89
2025-07-15 18:57:01,Clouds,23.76,100
2025-07-15 19:34:07,Rain,23.76,100
2025-07-15 19:47:37,Rain,23.76,100
2025-07-15 19:56:09,Rain,23.76,100
2025-07-15 20:43:15,Rain,23.76,100
2025-07-15 20:57:24,Clouds,23.76,100
